真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
4.4,4.258135,4.6,4.3566823,4.6,4.432309
4.6,4.4452214,4.6,4.4622054,4.6,4.4384737
4.6,4.531307,4.6,4.489914,4.5,4.4158287
4.6,4.4808264,4.5,4.4157596,4.5,4.327334
4.5,4.4491134,4.5,4.3614783,4.4,4.267185
4.5,4.3318267,4.4,4.233928,4.4,4.1563034
4.4,4.3193674,4.4,4.2219906,4.3,4.147934
4.4,4.2681723,4.3,4.18146,4.2,4.114859
4.3,4.262218,4.2,4.198475,4.1,4.151344
4.2,4.188319,4.1,4.169505,4.4,4.163524
4.1,4.1452765,4.4,4.2006955,4.6,4.248927
4.4,4.1512885,4.6,4.2591825,4.7,4.3526306
4.6,4.4219103,4.7,4.5288577,4.8,4.5939083
4.7,4.56765,4.8,4.575653,4.7,4.536763
4.8,4.647574,4.7,4.6197977,4.6,4.5496545
4.7,4.5850725,4.6,4.514567,4.6,4.413858
4.6,4.5288806,4.6,4.4470243,4.5,4.3384786
4.6,4.4259176,4.5,4.3367834,4.3,4.2537513
4.5,4.3787208,4.3,4.289952,4.2,4.2188535
4.3,4.3078647,4.2,4.2207313,4.2,4.157195
4.2,4.183514,4.2,4.1057324,4.1,4.0548606
4.2,4.0974154,4.1,4.0678525,4.1,4.0639696
4.1,4.123174,4.1,4.1327133,4.3,4.1941757
4.1,4.110898,4.3,4.1643043,4.5,4.2345657
4.3,4.150004,4.5,4.2772803,4.7,4.3991213
4.5,4.34895,4.7,4.4403667,4.7,4.5065317
4.7,4.5346727,4.7,4.5323744,4.7,4.4845533
4.7,4.585958,4.7,4.5360374,4.6,4.451067
4.7,4.5715666,4.6,4.4883585,4.5,4.3727126
4.6,4.509948,4.5,4.417303,4.5,4.3100886
4.5,4.413101,4.5,4.3131104,4.3,4.2223315
4.5,4.342413,4.3,4.246193,4.3,4.167132
4.3,4.301095,4.3,4.2158957,4.2,4.1536365
4.3,4.180837,4.2,4.1209354,4.3,4.0809054
4.2,4.197133,4.3,4.1875515,4.3,4.186864
4.3,4.184397,4.3,4.254583,4.5,4.3296323
4.3,4.3058376,4.5,4.425506,4.7,4.525846
4.5,4.3644996,4.7,4.469179,4.7,4.5449595
4.7,4.519695,4.7,4.548065,4.7,4.52789
4.7,4.591275,4.7,4.5640645,4.7,4.498544
4.7,4.574117,4.7,4.510102,4.6,4.4136314
4.7,4.5155,4.6,4.434307,4.5,4.3320737
4.6,4.4723897,4.5,4.3827486,4.4,4.2941275
4.5,4.382705,4.4,4.2939034,4.3,4.222753
4.4,4.3223724,4.3,4.2363825,4.2,4.1733055
4.3,4.2647223,4.2,4.2034845,4.2,4.1586676
4.2,4.196772,4.2,4.1740136,4.2,4.1627936
4.2,4.1413765,4.2,4.149894,4.4,4.195079
4.2,4.1926723,4.4,4.2866936,4.6,4.38813
4.4,4.241847,4.6,4.376978,4.8,4.492237
4.6,4.4333344,4.8,4.5435376,4.9,4.609359
4.8,4.6098666,4.9,4.613662,4.8,4.5697436
4.9,4.698074,4.8,4.664433,4.8,4.591952
4.8,4.645095,4.8,4.5676765,4.7,4.4606595
4.8,4.6149,4.7,4.5197945,4.6,4.3916383
4.7,4.539943,4.6,4.451718,4.5,4.34635
4.6,4.484416,4.5,4.3993497,4.5,4.3098927
4.5,4.4058046,4.5,4.322417,4.4,4.2493057
4.5,4.327082,4.4,4.2592196,4.4,4.2095027
4.4,4.312256,4.4,4.2983985,4.4,4.2977767
4.4,4.3082333,4.4,4.353041,4.5,4.4008527
4.4,4.3503623,4.5,4.444323,4.7,4.5277147
4.5,4.427355,4.7,4.54334,4.7,4.622053
4.7,4.4998555,4.7,4.575208,4.7,4.6087675
4.7,4.650367,4.7,4.6370997,4.7,4.576444
4.7,4.551035,4.7,4.506792,4.6,4.4351583
4.7,4.5141525,4.6,4.452725,4.5,4.3671165
4.6,4.492863,4.5,4.4201183,4.4,4.3407917
4.5,4.4372473,4.4,4.361268,4.4,4.290282
4.4,4.342691,4.4,4.271251,4.3,4.2177215
4.4,4.2587695,4.3,4.2163997,4.2,4.186746
4.3,4.264019,4.2,4.234145,4.3,4.215111
4.2,4.2190447,4.3,4.2292776,4.4,4.249537
4.3,4.2127757,4.4,4.340878,4.7,4.46812
4.4,4.3455215,4.7,4.494366,4.9,4.6039906
4.7,4.4660435,4.9,4.584032,5.0,4.6509066
4.9,4.68754,5.0,4.6907444,5.0,4.6549463
5.0,4.770412,5.0,4.741201,4.9,4.682437
5.0,4.7229424,4.9,4.6453776,4.8,4.5387807
4.9,4.69091,4.8,4.6002703,4.7,4.478374
4.8,4.603622,4.7,4.514737,4.6,4.400426
4.7,4.5449677,4.6,4.4563365,4.5,4.3535285
4.6,4.472347,4.5,4.388535,4.4,4.308315
4.5,4.4189725,4.4,4.348675,4.4,4.288513
4.4,4.321996,4.4,4.3005633,4.4,4.2899895
4.4,4.3093905,4.4,4.361859,4.5,4.4159536
4.4,4.3577657,4.5,4.4844804,4.7,4.586572
4.5,4.446338,4.7,4.5808764,4.8,4.6685305
4.7,4.507879,4.8,4.604959,4.5,4.6535416
4.8,4.6284847,4.5,4.6235957,4.3,4.5658617
4.5,4.6197004,4.3,4.580757,4.0,4.510834
4.3,4.4547615,4.0,4.401281,4.0,4.3280034
4.0,4.2786837,4.0,4.239855,3.8999999,4.1995416
4.0,4.0127974,3.8999999,3.9993613,3.8999999,3.9842823
3.8999999,3.9593763,3.8999999,3.9527054,3.8999999,3.9381473
3.8999999,3.837263,3.8999999,3.8329527,3.8,3.8285494
3.8999999,3.8277757,3.8,3.8224235,3.8,3.822277
3.8,3.860604,3.8,3.869151,3.8,3.8784056
3.8,3.8819273,3.8,3.9732628,3.8,4.057124
3.8,3.8951313,3.8,3.95573,3.7,4.0061245
3.8,3.8632336,3.7,3.8482008,3.7,3.858717
3.7,3.9044528,3.7,3.8836005,3.7,3.8780298
3.7,3.7715492,3.7,3.7633498,3.7,3.7646358
3.7,3.755144,3.7,3.751062,3.8,3.7561336
3.7,3.7692382,3.8,3.7672832,3.7,3.773653
3.8,3.7813303,3.7,3.7836134,3.7,3.7931242
3.7,3.762204,3.7,3.7847326,3.7,3.8102505
3.7,3.734484,3.7,3.7572765,3.7,3.787115
3.7,3.735952,3.7,3.7614136,3.7,3.7922585
3.7,3.7638988,3.7,3.7978168,3.7,3.8195183
3.7,3.7165303,3.7,3.7646863,3.6,3.8064945
3.7,3.8445883,3.6,3.8672535,3.7,3.9022217
3.6,3.8026574,3.7,3.8208528,3.7,3.8431818
3.7,3.7585633,3.7,3.7771327,3.7,3.8036613
3.7,3.790158,3.7,3.8026733,3.7,3.8180835
3.7,3.7210264,3.7,3.730274,3.7,3.751003
3.7,3.773176,3.7,3.7700503,3.7,3.7778537
3.7,3.7327302,3.7,3.7432277,3.6,3.764963
3.7,3.7192028,3.6,3.73678,3.6,3.7635155
3.6,3.714667,3.6,3.7401135,3.6,3.7715974
3.6,3.659699,3.6,3.6977236,3.7,3.7423437
3.6,3.6406682,3.7,3.6955395,3.6,3.755784
